,year,region,dec,pollutant,int,factor,se,r2,warn
1,2012,FRCC,13102,so2,39.20965091,0.286831229,0.010978275,0.437686727,0
2,2012,FRCC,13102,nox,28.12157982,0.229057332,0.006524526,0.584263619,0
3,2012,FRCC,13102,co2,22700.85232,529.6437323,3.418642589,0.964750393,0
4,2012,FRCC,15191,so2,33.39507007,0.303807919,0.00942379,0.542633849,0
5,2012,FRCC,15191,nox,-2.554477942,0.194285728,0.005501536,0.587402788,0
6,2012,FRCC,15191,co2,7325.792644,502.3944737,3.173974767,0.966217165,0
7,2012,FRCC,16600,so2,12.9653894,0.346409641,0.010733199,0.542907619,0
8,2012,FRCC,16600,nox,-24.40059734,0.212709522,0.004833518,0.688303241,0
9,2012,FRCC,16600,co2,8562.738695,498.4498988,2.787476949,0.97330511,0
10,2012,FRCC,17741,so2,-29.39808046,0.395253671,0.012502039,0.532928765,0
11,2012,FRCC,17741,nox,-32.47708117,0.257315431,0.006279418,0.657164772,0
12,2012,FRCC,17741,co2,2230.426322,499.3708101,3.13768815,0.966571913,0
13,2012,FRCC,18873,so2,-34.12410134,0.413809533,0.013347742,0.523171138,0
14,2012,FRCC,18873,nox,-20.29635794,0.287110911,0.006642939,0.680759043,0
15,2012,FRCC,18873,co2,539.8259002,508.7381294,3.493055557,0.960340103,0
16,2012,FRCC,20271,so2,6.099552494,0.458360643,0.013196301,0.579064054,0
17,2012,FRCC,20271,nox,-18.90704421,0.315932938,0.007344699,0.678436353,0
18,2012,FRCC,20271,co2,12088.36619,497.1118452,3.724569224,0.953078474,0
19,2012,FRCC,22274,so2,49.84717177,0.446661169,0.016649093,0.451038176,0
20,2012,FRCC,22274,nox,-9.754692005,0.335986652,0.007049779,0.721674737,0
21,2012,FRCC,22274,co2,9525.728727,478.750703,2.655308666,0.973759801,0
22,2012,FRCC,24678,so2,-11.59775165,0.453342625,0.014975858,0.510975852,0
23,2012,FRCC,24678,nox,-26.25343141,0.377577443,0.008348862,0.699894157,0
24,2012,FRCC,24678,co2,-5991.882691,459.3781799,2.549965337,0.973688391,0
25,2012,FRCC,27570,so2,-78.39625331,0.530787645,0.017925908,0.500215979,0
26,2012,FRCC,27570,nox,-5.977145774,0.479098034,0.01047785,0.704728523,0
27,2012,FRCC,27570,co2,-17712.80737,450.8304903,2.990307904,0.962890404,0
28,2012,FRCC,35050,so2,-137.8142056,0.659742787,0.027079505,0.403905005,0
29,2012,FRCC,35050,nox,-49.5836287,0.583801204,0.013856138,0.669582714,0
30,2012,FRCC,35050,co2,-8831.123777,463.172505,3.542519299,0.951253944,0
31,2012,MRO,12660,so2,-1.593396421,1.824260874,0.024609908,0.86236284,0
32,2012,MRO,12660,nox,-11.78083325,0.794536585,0.01024433,0.872757412,0
33,2012,MRO,12660,co2,8348.66946,855.8510381,3.081720386,0.988757075,0
34,2012,MRO,14347,so2,14.08533976,1.816753986,0.02166331,0.889240558,0
35,2012,MRO,14347,nox,-6.205130165,0.849308481,0.010501042,0.881898211,0
36,2012,MRO,14347,co2,6598.83255,844.8805994,3.226292084,0.987387292,0
37,2012,MRO,15510,so2,-0.745141465,1.799705556,0.023244779,0.872371163,0
38,2012,MRO,15510,nox,-11.1214254,0.902139215,0.011193301,0.881048814,0
39,2012,MRO,15510,co2,326.0770215,843.7747305,3.398965378,0.985968532,0
40,2012,MRO,16565,so2,-5.54175165,1.811001054,0.0253114,0.853883965,0
41,2012,MRO,16565,nox,-2.339244152,0.914635952,0.011517803,0.878029208,0
42,2012,MRO,16565,co2,-1589.200344,842.9221159,3.370809269,0.986184841,0
43,2012,MRO,17457,so2,-20.86062013,1.787692884,0.026590558,0.837655168,0
44,2012,MRO,17457,nox,-1.529182037,0.938581515,0.012313081,0.868988971,0
45,2012,MRO,17457,co2,-2376.565074,836.5878522,3.732373718,0.982862634,0
46,2012,MRO,18465,so2,-31.59896972,1.822216496,0.025605047,0.852397716,0
47,2012,MRO,18465,nox,-10.20845241,0.956568854,0.012491526,0.869902576,0
48,2012,MRO,18465,co2,-6673.595951,842.7768595,3.722322366,0.983179642,0
49,2012,MRO,19466,so2,14.1687891,1.750136758,0.028178852,0.814933127,0
50,2012,MRO,19466,nox,4.089142413,0.927081625,0.01215367,0.869148937,0
51,2012,MRO,19466,co2,4013.464743,813.4894928,4.043157657,0.97881912,0
52,2012,MRO,20604,so2,6.046510255,1.618444278,0.028552077,0.785578207,0
